Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1378,.4724 (12mm) -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1379,1.3125 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1380,1.2500 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1381,1.2598 (32mm) -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1382,1.6250 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1383,1.4375 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1384,1.5000 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1385,.9375 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1386,1.8898 (48mm) -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1387,1.5000 -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1388,2.0866 (53mm) -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1389,1.6250 -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1390,1.7717 (45mm) -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1391,1.5748 (40mm) -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1392,.3120 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1393,1.0000 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1394,.2756 (7mm) -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1395,2.3750 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1396,2.5000 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1397,1.3120 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1398,.8661 (22mm) -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1399,1.6250 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1400,2.0000 -65mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1401,.8120 -65mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1402,80mm Machinable Collet Blank,Microcentric,"Clamping,Workholding&Positioning",Collet,Central,19-780-100,Microcentric,0
1403,65mm Machinable Collet Blank,,"Clamping,Workholding&Positioning",Collet,,,,0
1415,20MM - 65BZI Collet - Round Smooth,,"Clamping,Workholding&Positioning",Collet,Central,,Microcentirc,0
1443,S30 Emergency Collet Pad,Hardinge,"Clamping,Workholding&Positioning",Collet,Central,5615141,Hardinge,0
65501 ReBuilt & Tested,Collet Closer,65501,"Clamping,Workholding&Positioning",Collet,,,Lexair ,0
65501-New&Tested,Collet Closer,65501,"Clamping,Workholding&Positioning",Collet,,,Lexair,3625
65501B,Collet Closer- REBUILT AND TESTED,65501,"Clamping,Workholding&Positioning",Collet,,65501,Lexair ,0
1412,Dorian Tool - 73310195446 - Milling Inserts | Material: Carbide | Insert Style: TDEX,331967,"Clamping,Workholding&Positioning",FingerClamps,MSC,,Dorian,17.81
Jaw001,Add on Steel Soft Jaw for Profilo 125,149258,"Clamping,Workholding&Positioning",Jaws,,149258,Lang Tech,89.5
Jaw003,Makro Grip Profilo 77 Alu ,49779,"Clamping,Workholding&Positioning",Jaws,,49779,Lang,54.5
1479,TDEX110204 DASP35B Grade Carbide Milling Insert,331926,"Clamping,Workholding&Positioning",ManualEdgeClamps,MSC,73310195426,Dorian,16.02
1016,0.1065 Drill- Long,59926766,Holemaking,AircraftExtensionDrillBits,MSC,,,17.33
1019,"0.1285 """"#30"""" Drill",78562212,Holemaking,AircraftExtensionDrillBits,MSC,78562212,,5.81
1472,"0.3125 - 5/16 Inch Diameter, 12 Inch Overall Length, Cobalt, Bright Finish, Aircraft Extension Drill",59926576,Holemaking,AircraftExtensionDrillBits,MSC,7.28E+11,Hertel,30.82
1473,"0.3750 - 3/8 Inch, 12 Inch Overall Length, Cobalt, Bright Finish, Aircraft Extension Drill Bit",59927095,Holemaking,AircraftExtensionDrillBits,MSC,59927095,Hertel,37.52
1475,"0.1820 Inch Diameter, 6 Inch Overall Length, Cobalt, Bright Finish, Aircraft Extension Drill",59924969,Holemaking,AircraftExtensionDrillBits,MSC,7.28E+11,Hertel,6.98
1503,"0.1910 Inch Dia, 6 Inch Overall Length, Cobalt, Oxide and Gold Finish, Aircraft Extension Drill Bit",78562022,Holemaking,AircraftExtensionDrillBits,MSC,53711,Precision Twist,8.17
1305,0.0938 3/32 270D 2FL SPH BALL    UNDERCUTTING CRB ENDMILL,64449325,Holemaking,BallEndMills,MSC,23206,HARVEY,40.39
1553,"0.0787 2.00 mm Diam, 1.6mm Length of Cut, 2 Flute, Solid Carbide, Ball End Mill",55450548,Holemaking,BallEndMills,MSC,3052035,OSG,83.48
1007,0.2500 x2-1/2 82DEG TICN SC 4FL SE CHAMFER TOOL,9550682,Holemaking,ChamferMills,MSC,,,28.08
1008,0.2500  90DEG CARBIDE 4FL CHAMFER ENDMILL QIA,82906926,Holemaking,ChamferMills,MSC,76600,,31
1009,"0.2500 2-1/2"""" NIAGARA 4F SC 60DEG CHMFR EM",62625678,Holemaking,ChamferMills,MSC,76596,,32.24
1010,0.5000 1/2x3 90DEG TICN SC 2FL SE CHAMFER TOOL,9550500,Holemaking,ChamferMills,MSC,,,62.01
1128,0.2500 1/4X2-1/2 90DEG SC 2FL SE CHAMFER TOOL,9550187,Holemaking,ChamferMills,MSC,922500090,,22.97
1265,0.1250 Chamfer Mill 60DEG 2Fl Carb AlTiN Steel,76399906,Holemaking,ChamferMills,MSC,,,33.19
1352,"0.1250 1/8"""" X 120DEG Chamfer Mill .01"""" Flat",70377221,Holemaking,ChamferMills,MSC,,,21.2
1536,"0.3750 60DEG Inc 2-1/2 Inch OAL, 3/8 Inch Cutter Head Dia, 2 Flute, RH, Solid Carbide",9550278,Holemaking,ChamferMills,MSC,923750060,Accupro,34.54
1723,"0.5000 120DEG Inc Chamfer Mill, 3 Flute, Coated, SC",07017 (Iwen),Holemaking,ChamferMills,Central,7017,Helical,0
1748,0.5000 90DEG HPCM Chamfer Tool,07029 (Iwen),Holemaking,ChamferMills,Central,7029,Helical,0
1831,"0.0938 2.38mm 90DEG Drill Mill, SC, 4 Flute",15306-C3,Holemaking,ChamferMills,Central,15306-C3,Harvey (Iwen),32.3
1839,0.1875 4.76mm 60DEG Mill 0.625 LOC 2 Flute,991712-C3,Holemaking,ChamferMills,Central,991712-C3,Harvey,0
2098,0.2500 Dia x .095 LOC x 2.5 OAL x 5FL Aplus 90DEG,59807-HLS,Holemaking,ChamferMills,,,Helical,27.16
2115,"0.5000 4 Flute Solid Carbide Chamfer Mill 90DEG TiCN Finish, 3"" OAL",9551011,Holemaking,ChamferMills,,,Accupro,67.09
2169,"0.3750 45DEG Ã— 22.5Â° per side Carbide Pointed Chamfer Cutter, 2 Flutes",72523-HAR,Holemaking,ChamferMills,,72523,HARVEY,47.6
1920,"0.1290 3.28mm 6 Flute High Speed Steel Chucking Reamer Straight Shank, Straight Flute",2012904,Holemaking,ChuckingReamer,,,,0
2012,0.3890 9.88mm Dia-HSS-Carbide Tipped Chucking Reamer.,42124677,Holemaking,ChuckingReamer,,24003890,Rock River Tool,48.6
2050,"0.1693 4.3mm High Speed Steel 6 Flute Chucking Reamer Straight Flute, Straight Shank",43997568,Holemaking,ChuckingReamer,,,Alvord Polk,18.09
2150,"0.1305 High Speed Steel 6 Flute Chucking Reamer Straight Flute, 0.1275"" Straight Shank",2013050,Holemaking,ChuckingReamer,,,Interstate,21.42
2161,"0.2355 High Speed Steel 6 Flute Chucking Reamer Straight Flute, 0.2265"" Straight Shank, 1-1/2"" Flute Length, 6"" OAL",43987288,Holemaking,ChuckingReamer,,10419,Alvord Polk,27.72
2198,"0.0728 1.85mm High Speed Steel 4 Flute Chucking Reamer Straight Flute, Straight Shank",43998129,Holemaking,ChuckingReamer,,44020,Alvord Polk,16.14
2222,"0.1275 High Speed Steel 4 Flute Chucking Reamer Straight Flute, Straight Shank, 7/8"" Flute Length, 3-1/2"" OAL",51492320,Holemaking,ChuckingReamer,,10202,Alvord Polk,18.09
2239,"0.0630 High Speed Steel 4 Flute Chucking Reamer Straight Flute, Straight Shank",2006302,Holemaking,ChuckingReamer,,,Interstate,19.03
2255,"0.2030 High Speed Steel 6 Flute Chucking Reamer Straight Flute, Straight Shank",2020303,Holemaking,ChuckingReamer,,,Interstate,24.97
2258,"0.1265 High Speed Steel 6 Flute Chucking Reamer Straight Flute, Straight Shank",2012656,Holemaking,ChuckingReamer,,,Interstate,19.32
255,0.2175    CARBIDE TIPPED REAMER,82021759,Holemaking,ChuckingReamers,MSC,2400.2175,ROCK RIVER,75.94
257,0.1615 STR SHK STR FL  CRB DEC CK RMR,45674884,Holemaking,ChuckingReamers,MSC,45674884,HERTEL,44.47
1058,0.2500 -1/4 HSS ALVORD POLK ST FL CHK RMR,6667737,Holemaking,ChuckingReamers,MSC,,,19.17
1059,0.2810 LTR K STR SH STR FL HERTEL CARB CHUCK REAMER,79891081 - cant return,Holemaking,ChuckingReamers,Central,,,57.27
1060,0.3740 9.50 mm HSS ALVORD POLK ST FL CHK RMR,06669691 - cant return,Holemaking,ChuckingReamers,Central,,,23.58
1087,0.7470 Reamer,AHB,Holemaking,ChuckingReamers,Central,HANCAR-4007470,AHB,62.45
1089,0.3740 CT Over Under size Reamer,2041242,Holemaking,ChuckingReamers,MSC,,,76.03
1120,0.0635 #52 ST. FLT MA FORD SOL.CARB.REAMER,245191,Holemaking,ChuckingReamers,MSC,27206350,M.A. FORD,27.23
1183,0.1181 3.00 mm STR SH STR FL HERTEL CARB CHUCK REAMER,79891222,Holemaking,ChuckingReamers,MSC,,,29.37
1184,0.2170 STR SHK STR FL HERTEL CARB DEC CHUCK RMR,45675311,Holemaking,ChuckingReamers,MSC,,,58.03
1187,0.1270 STR SH STR FL HERTEL CARB CHUCK REAMER,79889432,Holemaking,ChuckingReamers,MSC,,,35.6
1196,0.5512 14.00 mm STR SH STR FL HERTEL CARB CHUCK REAMER,79891396,Holemaking,ChuckingReamers,MSC,,,200.89
1244,0.3543 9.00 mm Luger Rougher Carbide (Custom),,Holemaking,ChuckingReamers,Central,9mm Luger Rougher Carbide (Custom),Pacific Tool & Gauge,0
1245,0.3543 9.00 mm Luger Finisher Carbide (Custom),,Holemaking,ChuckingReamers,Central,9mm Luger Finisher Carbide (Custom),Pacific Tool & Gauge,0
1317,.2845 STR.SH.STR.FLUTE USA HS DECIMAL REAMER,72028459,Holemaking,ChuckingReamers,MSC,,,43.08
1319,0.5118 13.00 mm STR SHK STR FL USA HSS CHUCKING REAMER,2297307,Holemaking,ChuckingReamers,MSC,,,38.01
1330,0.1590 300 #21 STR FL STR SHK    OSG CARB CHUCKING REAMER,55447403,Holemaking,ChuckingReamers,MSC,300-1590,OSG,24.71
1335,0.1413 3.59 mm SP FL STR SH    MAGAFOR CARB MICRO REAMER,78102209,Holemaking,ChuckingReamers,MSC,86000359,MAGAFOR,44.96
1360,0.9055 23MM Chucking Reamer,,Holemaking,ChuckingReamers,Central,,Production Tool,44.7
1365,0.3543 Rough 9mm Chamber Reamer (Remove Pilot),Pacific Tool & Gauge,Holemaking,ChuckingReamers,Central,,Pacific Tool and Gauge,200
1409,0.2815 Made in USA - Chucking Reamers | Reamer Diameter (Decimal Inch): 0.2815 | Dowel Pin Reamer (Yes/No): No,72028152,Holemaking,ChuckingReamers,MSC,,,42.98
1463,"0.2510 1/4 Inch Diameter, High Speed Steel, 6 Flute Chucking Reamer",30148258,Holemaking,ChuckingReamers,MSC,72296361,hertel,27.57
1482,"1"""" Reamer (custom)",,Holemaking,ChuckingReamers,Central,A19-0170,,0
1499,0.3125 Reamer,Travers Tool - 04-008-036,Holemaking,ChuckingReamers,Central,04-008-036,Lavallee & Ide,0
1555,"1.0625 1-1/16 Inch Diameter, Carbide-Tipped, 8 Flute Chucking Reamer",72191042,Holemaking,ChuckingReamers,MSC,72191042,MSC,105.59
1564,1.0010 Dia-HSS-Straight Shank/Straight Flute Chucking Reamer,Production- BD5610010,Holemaking,ChuckingReamers,Central,BD5610010,,0
1579,"0.2520 Diameter, Solid Carbide, Chucking Reamer",55447148,Holemaking,ChuckingReamers,MSC,300-2520,OSG,34.26
1593,A26-0230 (Reamer for Aviator),A26-0230 (Reamer for Aviator),Holemaking,ChuckingReamers,Central,A26-0230 (Reamer for Aviator),Accuromm,0
1597,"1.0047 Reamer, 8 Flute, Straight, 0.875 shank",30146419,Holemaking,ChuckingReamers,MSC,2298552,Hertel,111.74
1614,"0.2535 Inch Diameter, Left Hand Spiral, Solid Carbide, 6 Flute Chucking Reamer",78104981,Holemaking,ChuckingReamers,MSC,88860006440,Magafor,100.75
1615,"0.2528 Inch Diameter, Left Hand Spiral, Solid Carbide, 6 Flute Chucking Reamer",78104965,Holemaking,ChuckingReamers,MSC,88860006420,Magafor,100.75
1627,0.1980 Chucking Reamers | Reamer Diameter (Decimal Inch): 0.1980 | Reamer Material: High Speed Steel,30157481,Holemaking,ChuckingReamers,MSC,30157481,Hertel,40.59
1629,"0.3165 Inch Diameter, High Speed Steel, 6 Flute Chucking Reamer",5933569,Holemaking,ChuckingReamers,MSC,10581,Alvord Polk,24.46
1631,"0.1823 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36233633,Holemaking,ChuckingReamers,MSC,5072505,Walter-Titex,43.38
1632,"0.1783 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36233716,Holemaking,ChuckingReamers,MSC,5072495,Walter-Titex,43.38
1633,"0.1390 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36234185,Holemaking,ChuckingReamers,MSC,5072395,Walter-Titex,37.26
1635,"0.0984 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36240307,Holemaking,ChuckingReamers,MSC,5071861,Walter-Titex,19.19
1636,"0.0988 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36239911,Holemaking,ChuckingReamers,MSC,5072293,Walter-Titex,37.26
1637,"0.0980 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36251668,Holemaking,ChuckingReamers,MSC,5072291,Walter-Titex,44.35
1680,0.1920 Reamer - Custom,"0.192 Reamer,6 OAL,(PrimaryTool)",Holemaking,ChuckingReamers,Central,"0.192 Reamer, 6 OAL",Primary Tool,0
1735,"0.3150 8.00 mm Solid Carbide 6 Flute Chucking Reamer Straight Shank, 1-1/8"" Flute Length, 3-1/4"" OAL",79891339,Holemaking,ChuckingReamers,MSC,500-004008,HERTEL (MT),76.16
1766,"04-0017, Form Reamer, Tracker",04-0017,Holemaking,ChuckingReamers,Central,04-0017,Accuromm,0
1790,"0.3790 Carbide Tipped 4 Flute Chucking Reamer Straight Fl, 5/16"" Diam Straight, 1-3/4"" Flute, 7"" OAL",82037904,Holemaking,ChuckingReamers,MSC,2400.379,ROCK RIVER (HANNIBAL),63.42
1791,"0.2540 Carbide Tipped 4 Fl Chucking Reamer Straight Fl, 15/64"" Diam Straight, 1-1/2"" Flute, 6"" OAL",82025404,Holemaking,ChuckingReamers,MSC,2400.254,ROCK RIVER (HANNIBAL),59.71
1859,"0.0938 2.38mm Straight Shank, 0.6250"" Flute Length, 2.2500"" OAL #37 Solid Carbide Chucking Reamer",55447528,Holemaking,ChuckingReamers,,,,0
1922,"0.1220 3.10mm  Reamer- 0.8750 Flute Length, 4 FL",BD561220  (PRODUCTION TOOL),Holemaking,ChuckingReamers,,,,0
1923,"0.1210 3.07mm Reamer- 3.5 Flute Length, 4 FL",BD561210,Holemaking,ChuckingReamers,,,,0
1924,"0.1272  3.23mm 6 Flute Solid Carbide Chucking Reamer Straight Shank, Spiral Flute, 2-1/4"" OAL, 19/32"" Flute Length",75678540,Holemaking,ChuckingReamers,,,,0
1925,"0.1270 3.23mm 6 Flute High Speed Steel Chucking Reamer Straight Shank, Straight Flute",2012706,Holemaking,ChuckingReamers,,,,0
1953,"0.5200 13.21mm Carbideâ€“Tipped 6 Flute Chucking Reamer â€“ Straight Flute, 7/16"" Straight Shank, 2"" Flute Length, 8"" OAL",75751073,Holemaking,ChuckingReamers,,,,75.68
1954,"0.5000 12.70mm Carbideâ€“Tipped 6 Flute Chucking Reamer â€“ Straight Flute, 0.4355"" Straight Shank, 2"" Flute Length, 8"" OAL",81257180,Holemaking,ChuckingReamers,,,,77.48
1955,"0.4490 11.40mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 3/8"" Straight Shank, 1â€“3/4"" Flute Length, 7"" OAL",82044900,Holemaking,ChuckingReamers,,,,61.21
1956,"0.4480 11.38mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 3/8"" Straight Shank, 1â€“3/4"" Flute Length, 7"" OAL",82044801,Holemaking,ChuckingReamers,,,,61.24
1957,"0.4450 11.30mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 3/8"" Straight Shank, 1â€“3/4"" Flute Length, 7"" OAL",82044504,Holemaking,ChuckingReamers,,,,61.24
1958,"0.3760 9.53mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 5/16"" Straight Shank, 1â€“3/4"" Flute Length, 7"" OAL",2041283,Holemaking,ChuckingReamers,,,,77.52
1959,"0.3750 9.52mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 5/16"" Straight Shank, 1â€“3/4"" Flute Length, 7"" OAL",72190242,Holemaking,ChuckingReamers,,,,44.85
1960,"0.2600 6.60mm  Carbideâ€“Tipped 8 Flute Chucking Reamer â€“ Straight Flute, 15/64"" Straight Shank, 1â€“1/2"" Flute Length, 6"" OAL",82026006,Holemaking,ChuckingReamers,,,,54.39
1961," 0.2344 5.95mm Straight Shank, 1.5000"" Flute Length, 6"" OAL. Letter F Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute",82000068,Holemaking,ChuckingReamers,,,,86.44
1962,"0.2510 6.38mm Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 15/64"" Straight Shank, 1â€“1/2"" Flute Length, 6"" OAL",2041127,Holemaking,ChuckingReamers,,,,62.8
1963," 0.2344 5.95mm Straight Shank, 1â€“1/2"" Flute Length, 6"" OAL Letter E Carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute",72190168,Holemaking,ChuckingReamers,,,,46.23
1964,"0.1875 4.76mm arbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 11/64"" Straight Shank, 1â€“1/8"" Flute Length, 4â€“1/2"" OAL",82018805,Holemaking,ChuckingReamers,,,,53.65
1965,"0.1875 4.76mm carbideâ€“Tipped 4 Flute Chucking Reamer â€“ Straight Flute, 11/64"" Straight Shank, 1â€“1/8"" Flute Length, 4â€“1/2"" OAL",76558824,Holemaking,ChuckingReamers,,,,53.69
1966,"0.1250 3.18mm High Speed Steel 6 Flute Chucking Reamer Straight Flute, Straight Shank, 7/8"" Flute Length, 3-1/2"" OAL",63751085,Holemaking,ChuckingReamers,,,,25.99
1967,"0.1250 3.18mm High Speed Steel 6 Flute Chucking Reamer Straight Flute, Straight Shank, 7/8"" Flute Length, 3-1/2"" OAL",63752091,Holemaking,ChuckingReamers,,,,25.99
1976,"0.2660 6.76mm Letter H Solid Carbide Chucking Reamer â€“ Straight Flute, 0.2500"" 6.35mm Straight Shank, 1.1250"" 28.58mm Flute Length, 3.2500"" 82.55 OAL",55447098,Holemaking,ChuckingReamers,,,,34.94
1982,"0.2660 Letter H Carbide-Tipped 4 Flute Chucking Reamer Straight Flute, 15/64"" Straight Shank, 1-1/2"" Flute Length, 6"" OAL",82000084,Holemaking,ChuckingReamers,,,,76.48
1995,"0.6280 15.95mm Carbide-Tipped 6 Flute Chucking Reamer Straight Flute, 0.5625"" 14.29mm Straight Shank, 2.2500"" 57.15mm Flute Length, 9"" OAL",81927493,Holemaking,ChuckingReamers,,,Made in USA,75.05
2002,"0.6270 15.93mm Carbide-Tipped 6 Flute Chucking Reamer Straight Flute, 9/16"" Straight Shank, 2-1/4"" Flute Length, 9"" OAL",5372149,Holemaking,ChuckingReamers,,,Made in USA,77.87
2010,0.6255 15.89mm Dia-HSS-Carbide Tipped Chucking Reamer,BF536255,Holemaking,ChuckingReamers,,,Rock River Tool,65.95
2011,0.6275 15.94mm  Dia-HSS-Carbide Tipped Chucking Reamer,BF536275,Holemaking,ChuckingReamers,,24006275,Rock River Tool,65.95
2014,"0.3900 9.91mm Carbide-Tipped 4 Flute Chucking Reamer Straight Flute, 5/16"" Straight Shank, 1-3/4"" Flute Length, 7"" OAL",82039009,Holemaking,ChuckingReamers,,,Made In USA,57.79
2016,"0.2670 6.78mm Carbide-Tipped 4 Flute Chucking Reamer Straight Flute, 15/64"" Straight Shank, 1-1/2"" Flute Length, 6"" OAL",82342361,Holemaking,ChuckingReamers,,,Made in USA,55.44
2019,"0.1285 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.1190 Straight Shank, 0.8750 Flute Length, 3.5000 OAL",30147276,Holemaking,ChuckingReamers,,,hERTEL,13.47
2025,"0.4200 Carbide-Tipped 4 Flute Chucking Reamer Straight Flute, 3/8"" Straight Shank, 1-3/4"" Flute Length, 7"" OAL",82042003,Holemaking,ChuckingReamers,,,Made in USA,60.54
2027,"0.4130 Letter Z Carbide-Tipped 4 Flute Chucking Reamer Straight Flute, 0.3750 Straight Shank, 1.7500 Flute Length, 7.0000 OAL",82000266,Holemaking,ChuckingReamers,,,Made in USA,80.71
2035,"0.3640 High Speed Steel 6 Flute Chucking Reamer Straight Flute, 0.3105"" Straight Shank, 1-3/4"" Flute Length, 7"" OAL",30155048,Holemaking,ChuckingReamers,,,Hertel,43
2089,"0.0920 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.081"" Straight Shank, 3/4"" Flute Length, 3"" OAL",72009202,Holemaking,ChuckingReamers,,,Made in USA,30.05
2090,"0.0970 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.0928"" Straight Shank, 7/8"" Flute Length, 3-1/2"" OAL",72009707,Holemaking,ChuckingReamers,,,Made in USA,32.79
2091,"0.1710 High Speed Steel 6 Flute Chucking Reamer Straight Flute, 0.1595"" Straight Shank, 1-1/8"" Flute Length, 4-1/2"" OAL",72017106,Holemaking,ChuckingReamers,,,Made in USA,38.28
2092,"0.0870 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.081"" Straight Shank, 3/4"" Flute Length, 3"" OAL",72008709,Holemaking,ChuckingReamers,,,Made in USA,30.05
2099,"0.1012 2.57mm Solid Carbide 4 Flute Chucking Reamer Spiral Flute, 4mm Straight Shank, 14mm Flute Length, 75mm OAL",70254149,Holemaking,ChuckingReamers,,,Hertel,24.9
2103,"0.0815 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.0771"" Straight Shank, 3/4"" Flute Length, 3"" OAL",72008154,Holemaking,ChuckingReamers,,,Made in USA,30.05
2104,"0.0805 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.072"" Straight Shank, 3/4"" Flute Length, 3"" OAL stars image Write the first review",72008055,Holemaking,ChuckingReamers,,,Made in USA,30.05
2105,"0.0800 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.072"" Straight Shank, 3/4"" Flute Length, 3"" OAL",72008006,Holemaking,ChuckingReamers,,,Made in USA,30.05
2106,"0.0650 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.0585"" Straight Shank, 1/2"" Flute Length, 2-1/2"" OAL",72006505,Holemaking,ChuckingReamers,,,Made in USA,31.94
2107,"0.0600 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.0585"" Straight Shank, 1/2"" Flute Length, 2-1/2"" OAL",72006000,Holemaking,ChuckingReamers,,,Made in USA,35.7
2130,"0.1320 High Speed Steel 4 Flute Chucking Reamer Straight Flute, 0.119 Straight Shank, 0.8750 Flute Length, 3-1/2"" OAL",72013204,Holemaking,ChuckingReamers,,,Made in USA,40.63
